nID;sName;sNote
1;FI_StructureCodes;Структура кодів фінансових інструментів
2;FI_ClassificationSections;Класифікація фінансових інструментів за розділами
3;FI_ClassificationSubSections;Класифікація фінансових інструментів за підрозділами
4;TP_ClassificationGroups;Класифікація цінних паперів за групами
5;PTFI_ClassificationGroups;Класифікація похідних і товаророзпорядчих фінансових інструментів за групами (відповідно до виду базового активу)
6;FI_ClassificationSubGroups;Класифікація фінансових інструментів за підгрупами
7;FI_ClassificationAll;Класифікація фінансових інструментів
8;Kind_of_Market;Види ринку
9;KoM_Operations;Види ринку за характером проведення операцій
10;Ways_of_StopJustice;Способи припинення юридичної особи
11;Kind_of_Duty;Види посад
12;KoPA_FondReen;Види професійної діяльності на фондовому ринку
13;KoPA_FondReen_TorgTP;Види професійної діяльності на фондовому ринку - діяльності з торгівлі цінними паперами
14;Kind_of_DepositActiviti;Види депозитарної діяльності
15;KoDeal_TorgTP;Види договорів у діяльності з торгівлі цінними паперами
16;KoM_PravochTP;Вид ринку здійснення правочину щодо цінних паперів
17;KoII_StackPenFond;Види інституційних інвесторів та накопичувальний пенсійний фонд
18;ToF_TookdOverTPInvestFond;Типи фондів та інших активів, що перебувають в управлінні компанії з управління активами або торговця цінними паперами - інвестиційного керуючого інвестиційного фонду
19;Dates_of_Actions;Дати вчинення дій
20;Subject_of_Confinement;Предмет дебіторської заборгованості
21;LnC_Kind_AdmData_of_ITP;Перелік та коди видів адміністративних даних, особливої інформації про іпотечні цінні папери
22;Form_Credit;Форми кредиту
23;Ways_of_StopAdmFON;Способи припинення управителя ФОН
24;Period;Період
25;Tech_ProvidingTorg;Технології проведення торгів
26;Stock_Exchange_List;Біржовий список
27;KoC_BillInTPinDep;Види змін на рахунку в цінних паперах депонента в депозитарній установі
28;KoC_PersonBillITP;Види змін на особовому рахунку зареєстрованої особи у системі реєстру власників іменних цінних паперів
29;KoC_BillInTPownITPDep;Види змін на рахунку в цінних паперах власника іпотечних цінних паперів в депозитарній установі
30;KoREG_PersonInownITP;Види зареєстрованих осіб у системі реєстру власників іменних цінних паперів
31;List_of_FunRegholder;Перелік функцій реєстроутримувача
32;Kind_of_EventAboutISIN;Види події щодо коду ISIN
33;KoDOC_RegSysownITP;Види документів системи реєстру власників іменних цінних паперів
34;List_of_DepOpServAndDepDepart;Перелік депозитарних операцій та послуг депозитарних установ
35;KoI_TranzDepDepartToStprage;Вид інформації, що передається від депозитарної установи до уповноваженого на зберігання (Центрального депозитарію цінних паперів та/або Національного банку України) при припиненні нею здійснення депозитарної діяльності депозитарної установи
36;Reas_to_StopDepDepart;Підстави припинення діяльності депозитарною установою
37;Kind_of_DeponentDepozDepart;Види депонентів депозитарної установи
38;Kind_of_DepOpAndServMainDepTP;Види депозитарних операцій та послуг Центрального депозитарію цінних паперів
39;Kind_of_ClientsCentralDepTP;Види клієнтів Центрального депозитарію цінних паперів
40;ListAndCodes_of_TypesUniEnterprise;Перелік та коди типів об’єднань підприємств
41;OP_Classification;Класифікація організаційно-правових форм господарювання
42;ListAndCodes_of_CreditLevelsGroup;Перелік та коди груп рівнів кредитного рейтингу
43;ListAndCodes_of_CreditRateLevels;Перелік та коди рівнів кредитного рейтингу
44;ListAndCodes_of_TerritoriesUA;Перелік та коди територій (областей) України
45;Country_Classification;Класифікація країн світу
46;ListAndCodes_of_Currency;Перелік та коди валют
47;SpecNCwICI_Classes;Класи спеціалізованих та кваліфікаційних інститутів спільного інвестування
