nID_SubjectGroup_Parent;nID_SubjectGroup_Child
1;2
1;3
1;4
1;5
1;6
1;7
5;8
8;9
8;10
10;11
10;12
8;13
13;14
8;15
15;16
15;17
8;18
18;19
18;20
8;21
8;22
22;23
5;24
24;25
24;26
26;27
26;28
26;29
24;30
24;31
30;32
30;33
30;34
30;35
24;36
36;37
36;38
36;39
36;40
36;41
24;42
42;43
42;44
5;45
45;46
45;47
47;48
47;49
47;50
47;51
47;52
47;53
47;54
47;55
45;56
56;57
56;58
56;59
56;60
56;61
45;62
62;63
62;64
62;65
62;66
62;67
5;68
68;69
68;70
68;71
68;72
5;73
73;74
73;75
73;76
73;77
5;78
78;79
78;80
5;81
81;82
81;83
83;84
81;85
85;86
85;87
81;88
88;89
81;90
90;91
81;92
92;93
92;94
5;95
81;96
96;97
96;98
96;99
81;100
100;101
100;102
81;103
103;104
103;105
81;106
106;107
106;108
106;109
106;110
5;111
111;112
111;113
113;114
113;115
113;116
111;117
117;118
117;119
117;120
117;121
111;122
111;123
111;124
111;125
125;126
125;127
125;128
125;129
111;130
130;131
130;132
130;133
5;134
134;135
135;136
135;137
134;138
134;139
139;140
139;141
134;142
142;143
5;144
144;145
144;146
146;147
146;148
146;149
146;150
146;151
144;152
152;153
152;154
152;155
144;156
156;157
144;158
158;159
158;160
5;161
161;162
161;163
161;164
161;165
161;166
166;167
166;168
166;169
161;170
170;171
170;172
161;173
173;174
173;175
173;176
173;177
173;178
173;179
173;180
173;181
5;182
182;183
182;184
182;185
182;186
182;187
182;188
182;189
182;190
5;191
191;192
191;193
5;194
194;195
194;196
194;197
197;198
197;199
194;200
194;201
200;202
200;203
200;204
194;205
194;206
194;207
194;208
208;209
208;210
208;211
194;212
194;213
194;214
194;215
194;216
216;217
216;218

219;220
219;221
294;222
222;223
222;224
222;225
222;226
222;227
222;228
294;229
229;230
229;231
229;232
229;233
294;234
234;235
234;236
234;237
234;238
294;239
239;240
239;241
239;242
239;243
294;244
244;245
244;246
244;247
244;248
244;249
294;250
250;251
250;252
250;253
250;254
294;255
255;256
255;257
255;258
255;259
255;260
294;261
261;262
261;263
261;264
261;265
294;266
266;267
266;268
266;269
266;270
294;271
271;272
271;273
271;274
271;275
271;276
294;277
277;278
277;279
277;280
277;281
294;282
282;283
282;284
282;285
282;286
282;287
282;288
282;289
282;290
282;291
282;292
282;293
219;294
