nID;nID_Subject;sOKPO;sFormPrivacy;sName;sNameFull
1;219;37956207;Орган державної влади;НКЦПФР;Національна Комісія з Цінних Паперів та Фондового Ринку
220;220;37956207;Орган державної влади;НКЦПФР;Керівництво Комісії
221;221;37956207;Орган державної влади;НКЦПФР;Радники Комісії
222;222;37956207;Орган державної влади;НКЦПФР;Департамент стратегії розвитку ринків капіталу
223;223;37956207;Орган державної влади;НКЦПФР;Відділ адаптації законодавства ЄС
224;224;37956207;Орган державної влади;НКЦПФР;Відділ адаптації міжнародних стандартів
225;225;37956207;Орган державної влади;НКЦПФР;Відділ моніторингу розвитку законодавства
226;226;37956207;Орган державної влади;НКЦПФР;Відділ підготовки фахівців ринків капіталу
227;227;37956207;Орган державної влади;НКЦПФР;Відділ освіти інвесторів на ринках капіталу
228;228;37956207;Орган державної влади;НКЦПФР;Відділ програмних документів розвитку
229;229;37956207;Орган державної влади;НКЦПФР;Департамент корпоративного управління та корпоративних фінансів
230;230;37956207;Орган д ержавної влади;НКЦПФР;Відділ реєстрації емісій фінансових установ та органів місцевого самоврядування
231;231;37956207;Орган державної влади;НКЦПФР;Відділ реєстрації емісій підприємств
232;232;37956207;Орган державної влади;НКЦПФР;Відділ моніторингу та розвитку корпоративного управління
233;233;37956207;Орган державної влади;НКЦПФР;Відділ методологічного забезпечення корпоративного управління та корпоративних фінансів
234;234;37956207;Орган державної влади;НКЦПФР;Департамент ліцензування професійних учасників фондового ринку
235;235;37956207;Орган державної влади;НКЦПФР;Відділ ліцензування депозитарної та клірингової діяльності
236;236;37956207;Орган державної влади;НКЦПФР;Відділ ліцензування діяльності торговців цінними паперами та фондових бірж
237;237;37956207;Орган державної влади;НКЦПФР;Відділ ліцензування діяльності з управління активами
238;238;37956207;Орган державної влади;НКЦПФР;Відділ реєстрації ІСІ та їх емісій
239;239;37956207;Орган державної влади;НКЦПФР;Департамент нагляду за професійними учасниками фондового ринку
240;240;37956207;Орган державної влади;НКЦПФР;Відділ аналізу та нагляду за депозитарними та кліринговими установами
