nID;bPublic;sPath;sContext
1;false;ObjectStockPaperShare.nID_SubjectOrgan_Emitente;ObjectStockPaperShare
2;true;oSubjectOrgan_Emitente.sOKPO;ObjectStockPaperShare
3;true;oSubjectOrgan_Emitente.sNameFull;ObjectStockPaperShare
8;true;sSeries;ObjectStockPaperShare
9;true;nSizeCharterCapitalIssuance;ObjectStockPaperShare
10;true;nCommonDenomination;ObjectStockPaperShare
11;true;nQuantity;ObjectStockPaperShare
12;true;nDenomination;ObjectStockPaperShare
13;true;oDictionary_FormExistenceShare;ObjectStockPaperShare
14;true;oDictionary_TypeShare;ObjectStockPaperShare
15;false;oDictionary_ReasonRegisteringIssuanceShare;ObjectStockPaperShare
16;false;bReorganization;ObjectStockPaperShare
18;false;oSubjectOrgan_EmitenteReorganizationgan.sOKPO;ObjectStockPaperShare
19;false;oSubjectOrgan_EmitenteReorganizationgan.sNameFull;ObjectStockPaperShare
20;false;sDateBeginIPO;ObjectStockPaperShare
21;false;sDateEndIPO;ObjectStockPaperShare
22;false;nPaidStateFee;ObjectStockPaperShare
24;false;oActionEvent_Issue.nID_SubjectOrgan_Author;ObjectStockPaperShare
25;true;oActionEvent_Issue.sDate;ObjectStockPaperShare
26;false;oActionEvent_Issue.sReason;ObjectStockPaperShare
28;true;oDocumentStatutory_Certificate.oDocument.sCustomNumber;ObjectStockPaperShare
30;false;oDocumentStatutory_Certificate.oDocument.DocumentType.sName;ObjectStockPaperShare
31;false;oDocumentStatutory_Certificate.oDocumentStatutoryState.sName;ObjectStockPaperShare
32;false;oActionEvent_DuplicateDocumentsStatutory.sDate;ObjectStockPaperShare
33;false;bFictitious;ObjectStockPaperShare
35;false;oActionEvent_Fictitious.oDocument;ObjectStockPaperShare
36;false;oActionEvent_Fictitious.sDate;ObjectStockPaperShare
38;false;oActionEvent_Change.sDate;ObjectStockPaperShare
40;false;oActionEvent_Change.sReason;ObjectStockPaperShare
41;false;oActionEvent_Change.oActionEventChangeStockPaper.sCharacterChanges;ObjectStockPaperShare
43;true;oActionEvent_Report.oActionEventReportStockPaper.nSizeCharterCapitalIPO;ObjectStockPaperShare
44;true;oActionEvent_Report.ActionEventReportStockPaper.nCommonDenominationIPO;ObjectStockPaperShare
45;true;nQuantitySharesIPO;ObjectStockPaperShare

46;true;oActionEvent_Continue.sDate;ObjectStockPaperShare
47;false;oActionEvent_Continue.oSubjectOrgan.sNameFull;ObjectStockPaperShare
48;false;oActionEvent_Continue.sReason;ObjectStockPaperShare

50;true;oActionEvent_Terminate.oActionEventType.sName;ObjectStockPaperShare
51;true;oActionEvent_Terminate.sDate;ObjectStockPaperShare
52;true;oActionEvent_Terminate.oDocument;ObjectStockPaperShare
53;false;oActionEvent_Terminate.oSubjectOrgan_Author;ObjectStockPaperShare
54;false;oActionEvent_Terminate.sReason;ObjectStockPaperShare
